DID,Dist,PID,Dir,Apara,r,slope,cant,LW,RW
10001,0,10001,6.283185299717647,0,90000000000,0,0,2,2
10002,1,10002,6.283185299717647,0,90000000000,0,0,2,2
10003,2,10003,6.283185299719485,0,543912998474.6976,0,0,2,2
10004,3,10004,6.28318529971108,0,-118979172233.1844,0,0,2,2
10005,4,10005,6.2831852997145825,0,285543978402.8973,0,0,2,2
10006,5,10006,6.283185299708163,0,-155769217880.82788,0,0,2,2
10007,6,10007,6.283185299701463,0,-149264206130.5348,0,0,2,2
10008,7,10008,6.283185299699408,0,-486560028886.1815,0,0,2,2
10009,8,10009,6.283185299691626,0,-128498049171.72153,0,0,2,2
10010,9,10010,6.2831852996874895,0,-241765064814.82156,0,0,2,2
10011,10,10011,6.283185299679263,0,-121561207821.48824,0,0,2,2
10012,11,10012,6.283185299667354,0,-83965986042.40614,0,0,2,2
10013,12,10013,6.283185299656493,0,-92075556660.3389,0,0,2,2
10014,13,10014,6.283185299647563,0,-111985270225.04715,0,0,2,2
10015,14,10015,6.283185299636436,0,-89870682219.23883,0,0,2,2
10016,15,10016,6.283185299629482,0,-143793091550.78214,0,0,2,2
10017,16,10017,6.283185299620252,0,-108342947155.75673,0,0,2,2
10018,17,10018,6.283185299608791,0,-87252007659.84377,0,0,2,2
10019,18,10019,6.283185299596615,0,-82128521908.42688,0,0,2,2
10020,19,10020,6.283185299584476,0,-82380910722.3695,0,0,2,2
10021,20,10021,6.283185299573565,0,-91648344065.33366,0,0,2,2
10022,21,10022,6.283185299559084,0,-69056667495.25417,0,0,2,2
10023,22,10023,6.283185299545717,0,-74810625039.37701,0,0,2,2
10024,23,10024,6.283185299531787,0,-71791105454.4809,0,0,2,2
10025,24,10025,6.28318529951848,0,-75145158302.25082,0,0,2,2
10026,25,10026,6.283185299503089,0,-64972006858.01974,0,0,2,2
10027,26,10027,6.283185299486929,0,-61883033244.07079,0,0,2,2
10028,27,10028,6.283185299471235,0,-63718161111.6369,0,0,2,2
10029,28,10029,6.283185299456063,0,-65911480320.95914,0,0,2,2
10030,29,10030,6.283185299428169,0,-35849834644.41903,0,0,2,2
10031,30,10031,6.2831852994007455,0,-36465212684.370514,0,0,2,2
10032,31,10032,6.2790976445461855,0,-244.6390499149959,0,0,2,2
10033,32,10033,6.281314669409662,0,451.0549324340443,0,0,2,2
10034,33,10034,6.2831852993202,0,534.5792849598361,0,0,2,2
10035,34,10035,6.2789222107150024,0,-234.571713752502,0,0,2,2
10036,35,10036,6.279939213761198,0,983.2812239265645,0,0,2,2
10037,36,10037,6.28318529925869,0,308.0633583965883,0,0,2,2
10038,37,10038,6.280081229026362,0,-322.1576591873804,0,0,2,2
10039,38,10039,6.2831852992149875,0,322.1576637231019,0,0,2,2
10040,39,10040,6.28049342043992,0,-371.4877539293979,0,0,2,2
10041,40,10041,6.283185299163453,0,371.48776104135965,0,0,2,2
10042,41,10042,6.27953345633734,0,-273.8343481952435,0,0,2,2
10043,42,10043,6.2831852991182515,0,273.83435158466506,0,0,2,2
10044,43,10044,6.280768501710195,0,-413.7707184998501,0,0,2,2
10045,44,10045,6.283185299061249,0,413.7707282590155,0,0,2,2
10046,45,10046,6.280124274198075,0,-326.6879704345052,0,0,2,2
10047,46,10047,6.280418437914646,0,3399.4675198426116,0,0,2,2
10048,47,10048,6.2804713557305325,0,18897.22739395716,0,0,2,2
10049,48,10049,6.28054353468736,0,13854.453485534268,0,0,2,2
10050,49,10050,6.280220216038127,0,-3092.9239695020583,0,0,2,2
10051,50,10051,6.280664223826976,0,2252.212742914429,0,0,2,2
10052,51,10052,6.28067695644398,0,78538.44969438195,0,0,2,2
10053,52,10053,6.280762606785248,0,11675.376714118187,0,0,2,2
10054,53,10054,6.278421278867363,0,-427.10804939414083,0,0,2,2
10055,54,10055,6.279089215804508,0,1497.147326921953,0,0,2,2
10056,55,10056,6.280917481417886,0,546.9664761417059,0,0,2,2
10057,56,10057,6.2791556828819495,0,-567.6017885147298,0,0,2,2
10058,57,10058,6.280585027862826,0,699.6211645047877,0,0,2,2
10059,58,10059,0.002278211611241127,0,-0.1592786127322529,0,0,2,2
10060,59,10060,0.004566882346991924,0,436.9348479793231,0,0,2,2
10061,60,10061,0.0045668823117535964,0,-28378191025.029667,0,0,2,2
10062,61,10062,0.004070893798866501,0,-2016.1757258834637,0,0,2,2
10063,62,10063,0.006866051669134979,0,357.7615456489221,0,0,2,2
10064,63,10064,0.007883206323082726,0,983.134665037252,0,0,2,2
10065,64,10065,0.006131430926200303,0,-570.8494375361519,0,0,2,2
10066,65,10066,0.006913841632825447,0,1278.1011194407188,0,0,2,2
10067,66,10067,0.009254127614342033,0,427.2982053893967,0,0,2,2
10068,67,10068,0.007524892034809091,0,-578.2902062829954,0,0,2,2
10069,68,10069,0.005831465112117778,0,-590.5185435523426,0,0,2,2
10070,69,10070,0.006477980870685113,0,1546.7527074915827,0,0,2,2
10071,70,10071,0.006299943609151697,0,-5616.801737945781,0,0,2,2
10072,71,10072,0.008382120946496825,0,480.26648934477686,0,0,2,2
10073,72,10073,0.006169513078150217,0,-451.9553664731651,0,0,2,2
10074,73,10074,0.00616951303954866,0,-25905690901.750122,0,0,2,2
10075,74,10075,0.007061288186144918,0,1121.3589028768258,0,0,2,2
10076,75,10076,0.0054979372827951185,0,-639.6516596864436,0,0,2,2
10077,76,10077,0.007094912208039862,0,626.1839082080423,0,0,2,2
10078,77,10078,0.007344078049881648,0,4013.391212086674,0,0,2,2
10079,78,10079,0.006962301105440163,0,-2619.330513692849,0,0,2,2
10080,79,10080,0.005369158906280388,0,-627.6903596724768,0,0,2,2
10081,80,10081,0.006044373412102147,0,1481.0108363755694,0,0,2,2
10082,81,10082,0.006068993473866123,0,40617.28234423794,0,0,2,2
10083,82,10083,0.004619984055664031,0,-690.1266392324655,0,0,2,2
10084,83,10084,6.277777152518205,0,0.15940936487728483,0,0,2,2
10085,84,10085,6.27854371563657,0,1304.5240190160805,0,0,2,2
10086,85,10086,6.276222987155984,0,-430.8991803071324,0,0,2,2
10087,86,10087,6.2759482241108495,0,-3639.49962597631,0,0,2,2
10088,87,10088,6.2750269103908,0,-1085.406608235305,0,0,2,2
10089,88,10089,6.274105970463533,0,-1085.8471550562133,0,0,2,2
10090,89,10090,6.2729453907343595,0,-861.6383475110782,0,0,2,2
10091,90,10091,6.272924235347389,0,-47269.284244588605,0,0,2,2
10092,91,10092,6.271472322816454,0,-688.746724539685,0,0,2,2
10093,92,10093,6.2722099847967145,0,1355.634459629364,0,0,2,2
10094,93,10094,6.272881661218654,0,1488.8121234217833,0,0,2,2
10095,94,10095,6.272179584645832,0,-1424.346059547449,0,0,2,2
10096,95,10096,6.273269093109159,0,917.8450958943696,0,0,2,2
10097,96,10097,6.2737255253627175,0,2190.9056430667606,0,0,2,2
10098,97,10098,6.273418590275157,0,-3258.0178693424164,0,0,2,2
10099,98,10099,6.272773664182656,0,-1550.565268839388,0,0,2,2
10100,99,10100,6.273657473402745,0,1131.4659060698202,0,0,2,2
10101,100,10101,6.272751792519294,0,-1104.1416665329418,0,0,2,2
10102,101,10102,6.272751792480205,0,-25582819969.157555,0,0,2,2
10103,102,10103,6.272707772432206,0,-22716.92207169399,0,0,2,2
10104,103,10104,6.274803166847221,0,477.23712196341677,0,0,2,2
10105,104,10105,6.271189427018776,0,-276.7216367178901,0,0,2,2
10106,105,10106,6.273084226770234,0,527.7602549981973,0,0,2,2
10107,106,10107,6.273565199641111,0,2079.1193444553655,0,0,2,2
10108,107,10108,6.273518389393291,0,-21362.84353464355,0,0,2,2
10109,108,10109,6.273032606328855,0,-2058.5320345850437,0,0,2,2
10110,109,10110,6.272596079783612,0,-2290.811431506795,0,0,2,2
