PID,B(Lat),L(Long),H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
10001,0,0,0.038,-1739.662,168.951,0,0,0,0
10002,0,0,0.038,-1739.662,169.01,0,0,0,0
10003,0,0,0.038,-1739.662,169.056,0,0,0,0
10004,0,0,0.038,-1739.662,169.121,0,0,0,0
10005,0,0,0.038,-1739.662,169.186,0,0,0,0
10006,0,0,0.038,-1739.662,169.264,0,0,0,0
10007,0,0,0.038,-1739.662,169.396,0,0,0,0
10008,0,0,0.038,-1739.662,169.513,0,0,0,0
10009,0,0,0.038,-1739.662,169.63,0,0,0,0
10010,0,0,0.038,-1739.662,169.806,0,0,0,0
10011,0,0,0.038,-1739.662,169.978,0,0,0,0
10012,0,0,0.038,-1739.662,170.333,0,0,0,0
10013,0,0,0.038,-1739.662,170.554,0,0,0,0
10014,0,0,0.038,-1739.662,170.728,0,0,0,0
10015,0,0,0.038,-1739.662,170.975,0,0,0,0
10016,0,0,0.038,-1739.662,171.171,0,0,0,0
10017,0,0,0.038,-1739.662,171.379,0,0,0,0
10018,0,0,0.038,-1739.662,171.661,0,0,0,0
10019,0,0,0.038,-1739.662,171.958,0,0,0,0
10020,0,0,0.038,-1739.662,172.199,0,0,0,0
10021,0,0,0.038,-1739.662,172.529,0,0,0,0
10022,0,0,0.038,-1739.662,172.832,0,0,0,0
10023,0,0,0.038,-1739.662,173.149,0,0,0,0
10024,0,0,0.038,-1739.662,173.474,0,0,0,0
10025,0,0,0.038,-1739.662,173.776,0,0,0,0
10026,0,0,0.038,-1739.662,174.175,0,0,0,0
10027,0,0,0.038,-1739.662,174.55,0,0,0,0
10028,0,0,0.038,-1739.662,174.882,0,0,0,0
10029,0,0,0.038,-1739.662,175.282,0,0,0,0
10030,0,0,0.038,-1739.662,176.164,0,0,0,0
10031,0,0,0.038,-1739.662,176.54,0,0,0,0
10032,0,0,0.037,-1739.664,176.991,0,0,0,0
10033,0,0,0.037,-1739.666,177.976,0,0,0,0
10034,0,0,0.037,-1739.666,178.456,0,0,0,0
10035,0,0,0.037,-1739.668,178.889,0,0,0,0
10036,0,0,0.037,-1739.669,179.456,0,0,0,0
10037,0,0,0.037,-1739.669,179.844,0,0,0,0
10038,0,0,0.037,-1739.671,180.438,0,0,0,0
10039,0,0,0.037,-1739.671,180.905,0,0,0,0
10040,0,0,0.037,-1739.673,181.59,0,0,0,0
10041,0,0,0.037,-1739.673,182.146,0,0,0,0
10042,0,0,0.037,-1739.675,182.651,0,0,0,0
10043,0,0,0.037,-1739.675,183.161,0,0,0,0
10044,0,0,0.037,-1739.677,183.924,0,0,0,0
10045,0,0,0.037,-1739.677,184.543,0,0,0,0
10046,0,0,0.037,-1739.68,185.747,0,0,0,0
10047,0,0,0.037,-1739.682,186.413,0,0,0,0
10048,0,0,0.037,-1739.684,187.092,0,0,0,0
10049,0,0,0.037,-1739.688,188.487,0,0,0,0
10050,0,0,0.037,-1739.69,189.109,0,0,0,0
10051,0,0,0.037,-1739.691,189.84,0,0,0,0
10052,0,0,0.037,-1739.693,190.574,0,0,0,0
10053,0,0,0.037,-1739.695,191.335,0,0,0,0
10054,0,0,0.037,-1739.699,192.108,0,0,0,0
10055,0,0,0.037,-1739.703,193.008,0,0,0,0
10056,0,0,0.037,-1739.704,193.821,0,0,0,0
10057,0,0,0.036,-1739.708,194.735,0,0,0,0
10058,0,0,0.036,-1739.71,195.444,0,0,0,0
10059,0,0,0.036,-1739.708,196.253,0,0,0,0
10060,0,0,0.036,-1739.704,197.06,0,0,0,0
10061,0,0,0.036,-1739.701,197.867,0,0,0,0
10062,0,0,0.036,-1739.697,198.772,0,0,0,0
10063,0,0,0.036,-1739.691,199.577,0,0,0,0
10064,0,0,0.036,-1739.686,200.278,0,0,0,0
10065,0,0,0.036,-1739.68,201.18,0,0,0,0
10066,0,0,0.036,-1739.669,202.779,0,0,0,0
10067,0,0,0.036,-1739.664,203.377,0,0,0,0
10068,0,0,0.036,-1739.651,205.091,0,0,0,0
10069,0,0,0.036,-1739.645,206.039,0,0,0,0
10070,0,0,0.036,-1739.64,206.892,0,0,0,0
10071,0,0,0.036,-1739.634,207.77,0,0,0,0
10072,0,0,0.036,-1739.627,208.649,0,0,0,0
10073,0,0,0.036,-1739.621,209.545,0,0,0,0
10074,0,0,0.036,-1739.616,210.441,0,0,0,0
10075,0,0,0.036,-1739.61,211.224,0,0,0,0
10076,0,0,0.036,-1739.605,212.229,0,0,0,0
10077,0,0,0.036,-1739.599,213.008,0,0,0,0
10078,0,0,0.036,-1739.592,214.012,0,0,0,0
