PID,B(Lat),L(Long),H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
100,0,0,10.43,-637.015,-311.22,0,0,0,0
101,0,0,10.429,-637.058,-311.218,0,0,0,0
102,0,0,10.434,-637.1,-311.218,0,0,0,0
103,0,0,10.435,-637.145,-311.216,0,0,0,0
104,0,0,10.433,-637.2,-311.214,0,0,0,0
105,0,0,10.435,-637.27,-311.212,0,0,0,0
106,0,0,10.432,-637.386,-311.206,0,0,0,0
107,0,0,10.431,-637.509,-311.199,0,0,0,0
108,0,0,10.44,-637.664,-311.196,0,0,0,0
109,0,0,10.441,-637.838,-311.185,0,0,0,0
110,0,0,10.436,-638.012,-311.18,0,0,0,0
111,0,0,10.425,-638.181,-311.178,0,0,0,0
112,0,0,10.428,-638.306,-311.177,0,0,0,0
113,0,0,10.428,-638.504,-311.178,0,0,0,0
114,0,0,10.431,-638.68,-311.174,0,0,0,0
115,0,0,10.426,-638.938,-311.173,0,0,0,0
116,0,0,10.43,-639.126,-311.173,0,0,0,0
117,0,0,10.432,-639.294,-311.164,0,0,0,0
118,0,0,10.43,-639.481,-311.154,0,0,0,0
119,0,0,10.428,-639.721,-311.144,0,0,0,0
120,0,0,10.437,-639.981,-311.138,0,0,0,0
121,0,0,10.436,-640.194,-311.138,0,0,0,0
122,0,0,10.43,-640.449,-311.131,0,0,0,0
123,0,0,10.436,-640.717,-311.123,0,0,0,0
124,0,0,10.429,-641.023,-311.116,0,0,0,0
125,0,0,10.428,-641.259,-311.105,0,0,0,0
126,0,0,10.429,-641.491,-311.096,0,0,0,0
127,0,0,10.411,-641.77,-311.091,0,0,0,0
128,0,0,10.409,-642.049,-311.086,0,0,0,0
129,0,0,10.416,-642.257,-311.073,0,0,0,0
130,0,0,10.429,-642.505,-311.068,0,0,0,0
131,0,0,10.43,-642.756,-311.076,0,0,0,0
132,0,0,10.42,-642.998,-311.073,0,0,0,0
133,0,0,10.413,-643.225,-311.066,0,0,0,0
134,0,0,10.423,-643.578,-311.059,0,0,0,0
135,0,0,10.432,-643.934,-311.059,0,0,0,0
136,0,0,10.435,-644.261,-311.055,0,0,0,0
137,0,0,10.435,-644.564,-311.056,0,0,0,0
138,0,0,10.438,-644.868,-311.053,0,0,0,0
139,0,0,10.435,-645.193,-311.045,0,0,0,0
140,0,0,10.432,-645.539,-311.039,0,0,0,0
141,0,0,10.437,-645.882,-311.032,0,0,0,0
142,0,0,10.442,-646.205,-311.02,0,0,0,0
143,0,0,10.447,-646.604,-311.017,0,0,0,0
144,0,0,10.434,-646.991,-311.014,0,0,0,0
145,0,0,10.431,-647.294,-311.005,0,0,0,0
146,0,0,10.436,-647.72,-311.004,0,0,0,0
147,0,0,10.437,-648.073,-310.994,0,0,0,0
148,0,0,10.447,-648.44,-310.981,0,0,0,0
149,0,0,10.444,-648.843,-310.988,0,0,0,0
150,0,0,10.443,-649.226,-310.987,0,0,0,0
151,0,0,10.443,-649.693,-310.966,0,0,0,0
152,0,0,10.45,-650.125,-310.967,0,0,0,0
153,0,0,10.454,-650.554,-310.967,0,0,0,0
154,0,0,10.448,-650.908,-310.962,0,0,0,0
155,0,0,10.437,-651.366,-310.958,0,0,0,0
156,0,0,10.436,-651.77,-310.954,0,0,0,0
157,0,0,10.446,-652.179,-310.949,0,0,0,0
158,0,0,10.452,-652.664,-310.94,0,0,0,0
159,0,0,10.443,-653.021,-310.942,0,0,0,0
160,0,0,10.445,-653.585,-310.941,0,0,0,0
161,0,0,10.445,-653.966,-310.943,0,0,0,0
162,0,0,10.447,-654.253,-310.937,0,0,0,0
163,0,0,10.444,-654.728,-310.933,0,0,0,0
164,0,0,10.433,-655.225,-310.923,0,0,0,0
165,0,0,10.437,-655.671,-310.917,0,0,0,0
166,0,0,10.433,-655.955,-310.911,0,0,0,0
167,0,0,10.454,-656.528,-310.918,0,0,0,0
168,0,0,10.443,-656.905,-310.909,0,0,0,0
169,0,0,10.437,-657.26,-310.9,0,0,0,0
170,0,0,10.449,-657.694,-310.899,0,0,0,0
171,0,0,10.449,-658.031,-310.89,0,0,0,0
172,0,0,10.441,-658.409,-310.886,0,0,0,0
173,0,0,10.443,-661.772,-310.778,0,0,0,0
174,0,0,10.441,-662.149,-310.761,0,0,0,0
175,0,0,10.435,-662.481,-310.756,0,0,0,0
176,0,0,10.435,-662.842,-310.742,0,0,0,0
177,0,0,10.436,-663.385,-310.722,0,0,0,0
178,0,0,10.448,-663.779,-310.707,0,0,0,0
179,0,0,10.448,-664.102,-310.698,0,0,0,0
180,0,0,10.444,-664.518,-310.678,0,0,0,0
181,0,0,10.445,-664.96,-310.665,0,0,0,0
182,0,0,10.441,-665.417,-310.646,0,0,0,0
183,0,0,10.438,-665.783,-310.64,0,0,0,0
184,0,0,10.45,-666.156,-310.624,0,0,0,0
185,0,0,10.448,-666.514,-310.612,0,0,0,0
186,0,0,10.438,-666.878,-310.6,0,0,0,0
187,0,0,10.447,-667.433,-310.591,0,0,0,0
188,0,0,10.461,-667.881,-310.576,0,0,0,0
189,0,0,10.45,-668.23,-310.569,0,0,0,0
190,0,0,10.454,-668.574,-310.558,0,0,0,0
191,0,0,10.447,-668.946,-310.539,0,0,0,0
192,0,0,10.444,-669.431,-310.514,0,0,0,0
193,0,0,10.443,-669.824,-310.504,0,0,0,0
194,0,0,10.447,-670.186,-310.484,0,0,0,0
195,0,0,10.443,-670.526,-310.468,0,0,0,0
196,0,0,10.44,-670.988,-310.448,0,0,0,0
197,0,0,10.439,-671.486,-310.434,0,0,0,0
198,0,0,10.438,-671.812,-310.414,0,0,0,0
199,0,0,10.443,-672.222,-310.386,0,0,0,0
200,0,0,10.442,-672.607,-310.377,0,0,0,0
201,0,0,10.436,-673.005,-310.358,0,0,0,0
202,0,0,10.441,-673.377,-310.334,0,0,0,0
203,0,0,10.442,-673.83,-310.307,0,0,0,0
204,0,0,10.444,-674.138,-310.299,0,0,0,0
205,0,0,10.436,-674.582,-310.286,0,0,0,0
206,0,0,10.436,-674.992,-310.267,0,0,0,0
207,0,0,10.436,-675.401,-310.24,0,0,0,0
208,0,0,10.447,-675.819,-310.217,0,0,0,0
209,0,0,10.439,-676.097,-310.193,0,0,0,0
210,0,0,10.447,-676.548,-310.182,0,0,0,0
211,0,0,10.451,-676.984,-310.172,0,0,0,0
212,0,0,10.446,-677.36,-310.152,0,0,0,0
213,0,0,10.44,-677.691,-310.131,0,0,0,0
214,0,0,10.443,-678.042,-310.105,0,0,0,0
215,0,0,10.448,-678.395,-310.082,0,0,0,0
216,0,0,10.446,-678.793,-310.071,0,0,0,0
217,0,0,10.44,-679.221,-310.05,0,0,0,0
218,0,0,10.438,-679.641,-310.025,0,0,0,0
219,0,0,10.439,-679.973,-309.999,0,0,0,0
220,0,0,10.452,-680.278,-309.985,0,0,0,0
221,0,0,10.447,-680.671,-309.964,0,0,0,0
222,0,0,10.44,-681.071,-309.948,0,0,0,0
223,0,0,10.449,-681.578,-309.929,0,0,0,0
224,0,0,10.442,-681.937,-309.908,0,0,0,0
225,0,0,10.446,-682.202,-309.884,0,0,0,0
226,0,0,10.461,-682.625,-309.867,0,0,0,0
227,0,0,10.449,-683.027,-309.846,0,0,0,0
228,0,0,10.431,-683.464,-309.828,0,0,0,0
229,0,0,10.435,-683.813,-309.815,0,0,0,0
230,0,0,10.448,-684.13,-309.789,0,0,0,0
231,0,0,10.455,-684.463,-309.761,0,0,0,0
232,0,0,10.451,-684.903,-309.731,0,0,0,0
233,0,0,10.461,-685.25,-309.714,0,0,0,0
234,0,0,10.468,-685.618,-309.689,0,0,0,0
235,0,0,10.458,-686.037,-309.661,0,0,0,0
236,0,0,10.447,-686.392,-309.632,0,0,0,0
237,0,0,10.444,-686.736,-309.598,0,0,0,0
238,0,0,10.456,-687.14,-309.576,0,0,0,0
239,0,0,10.464,-687.498,-309.548,0,0,0,0
240,0,0,10.458,-687.879,-309.516,0,0,0,0
241,0,0,10.45,-688.286,-309.478,0,0,0,0
242,0,0,10.451,-688.675,-309.456,0,0,0,0
243,0,0,10.455,-689.114,-309.435,0,0,0,0
