DID,Dist,PID,Dir,Apara,r,slope,cant,LW,RW
10001,0,10001,6.2831852997023265,0,90000000000,0,0,2,2
10002,1,10002,6.2831852997023265,0,90000000000,0,0,2,2
10003,2,10003,6.28318529969447,0,-127277855170.99525,0,0,2,2
10004,3,10004,6.283185299685885,0,-116480437289.7397,0,0,2,2
10005,4,10005,6.283185299688874,0,334491950933.6376,0,0,2,2
10006,5,10006,6.283185299681898,0,-143353693257.27322,0,0,2,2
10007,6,10007,6.283185299679906,0,-501961616960.5992,0,0,2,2
10008,7,10008,6.283185299674689,0,-191675162894.55634,0,0,2,2
10009,8,10009,6.283185299673099,0,-628994361364.5944,0,0,2,2
10010,9,10010,6.283185299664025,0,-110198679342.52951,0,0,2,2
10011,10,10011,6.283185299659202,0,-207348049142.28802,0,0,2,2
10012,11,10012,6.283185299648398,0,-92560005495.11871,0,0,2,2
10013,12,10013,6.283185299639078,0,-107289871054.18562,0,0,2,2
10014,13,10014,6.283185299626188,0,-77584061937.88754,0,0,2,2
10015,14,10015,6.283185299618063,0,-123076072020.40053,0,0,2,2
10016,15,10016,6.283185299609178,0,-112544972695.18433,0,0,2,2
10017,16,10017,6.283185299602666,0,-153559725428.61755,0,0,2,2
10018,17,10018,6.283185299593999,0,-115382240914.39066,0,0,2,2
10019,18,10019,6.283185299586101,0,-126619422721.84256,0,0,2,2
10020,19,10020,6.283185299577752,0,-119776585834.3217,0,0,2,2
10021,20,10021,6.283185299569548,0,-121890214013.49182,0,0,2,2
10022,21,10022,6.283185299559335,0,-97912853886.6531,0,0,2,2
10023,22,10023,6.283185299549678,0,-103550069607.52544,0,0,2,2
10024,23,10024,6.283185299539558,0,-98815157700.77444,0,0,2,2
10025,24,10025,6.283185299528207,0,-88098584259.98622,0,0,2,2
10026,25,10026,6.283185299517507,0,-93458944703.46344,0,0,2,2
10027,26,10027,6.283185299507695,0,-101909839504.22012,0,0,2,2
10028,27,10028,6.283185299497889,0,-101983687214.0058,0,0,2,2
10029,28,10029,6.283185299481455,0,-60849586923.34346,0,0,2,2
10030,29,10030,6.283185299464007,0,-57312288462.33769,0,0,2,2
10031,30,10031,6.283185299451627,0,-80773362998.96864,0,0,2,2
10032,31,10032,6.283185299438999,0,-79193916215.98256,0,0,2,2
10033,32,10033,6.28318529942425,0,-67800789283.54956,0,0,2,2
10034,33,10034,6.283185299411237,0,-76842745484.75458,0,0,2,2
10035,34,10035,6.283185299397914,0,-75059993789.50827,0,0,2,2
10036,35,10036,6.283185299384851,0,-76550170440.75496,0,0,2,2
10037,36,10037,6.2831852993720005,0,-77820010149.47636,0,0,2,2
10038,37,10038,6.283185299358614,0,-74701426940.19533,0,0,2,2
10039,38,10039,6.283185299344542,0,-71061594726.24489,0,0,2,2
10040,39,10040,6.283185299331165,0,-74755986112.65016,0,0,2,2
10041,40,10041,6.283185299309703,0,-46594103080.72438,0,0,2,2
10042,41,10042,6.283185299288118,0,-46329516370.777054,0,0,2,2
10043,42,10043,6.283185299272317,0,-63284801688.64167,0,0,2,2
10044,43,10044,6.283185299253999,0,-54591733264.28549,0,0,2,2
10045,44,10045,6.28318529923963,0,-69594505306.13327,0,0,2,2
10046,45,10046,6.2831852992267425,0,-77594755812.7239,0,0,2,2
10047,46,10047,6.28318529921207,0,-68153747387.56804,0,0,2,2
10048,47,10048,6.283185299195771,0,-61353599631.77069,0,0,2,2
10049,48,10049,6.283185299180272,0,-64521484632.81513,0,0,2,2
10050,49,10050,6.283185299156171,0,-41492533880.32519,0,0,2,2
10051,50,10051,6.283185299130897,0,-39566344772.37222,0,0,2,2
10052,51,10052,6.281007000668381,0,-459.0739135190143,0,0,2,2
10053,52,10053,6.283185299076277,0,459.0739250301822,0,0,2,2
10054,53,10054,6.2793052183007765,0,-257.72659330036186,0,0,2,2
10055,54,10055,6.283185299039365,0,257.7265957521547,0,0,2,2
10056,55,10056,6.279290002416469,0,-256.7198590531311,0,0,2,2
10057,56,10057,6.2831852990021915,0,256.7198615030749,0,0,2,2
10058,57,10058,6.278168645825013,0,-199.3360841744359,0,0,2,2
10059,58,10059,6.27927466670458,0,904.1420632057876,0,0,2,2
10060,59,10060,6.2831852989479655,0,255.71312712702658,0,0,2,2
10061,60,10061,6.278770635797311,0,-226.5178487857761,0,0,2,2
10062,61,10062,6.283185298913516,0,226.51785055340568,0,0,2,2
10063,62,10063,6.279212097169658,0,-251.68618773159633,0,0,2,2
10064,63,10064,6.283185298873201,0,251.686190285351,0,0,2,2
10065,64,10065,6.279687757978447,0,-285.91517014135826,0,0,2,2
10066,65,10066,6.28318529883212,0,285.91517349961987,0,0,2,2
10067,66,10067,6.279243630107171,0,-253.6996561051285,0,0,2,2
10068,67,10068,6.283185298791756,0,253.69965870310756,0,0,2,2
10069,68,10069,6.283185298770398,0,-46820805374.58411,0,0,2,2
10070,69,10070,6.283185298751194,0,-52071959432.1813,0,0,2,2
10071,70,10071,6.283185298722669,0,-35057289414.7037,0,0,2,2
10072,71,10072,6.283185298691906,0,-32506637800.05266,0,0,2,2
10073,72,10073,6.283185298672836,0,-52438168079.857666,0,0,2,2
10074,73,10074,6.283185298642281,0,-32727745678.815884,0,0,2,2
10075,74,10075,6.283185298613277,0,-34477581664.705536,0,0,2,2
10076,75,10076,6.283185298592824,0,-48892648377.74119,0,0,2,2
10077,76,10077,6.283185298573198,0,-50952613786.605606,0,0,2,2
10078,77,10078,6.283185298543176,0,-33309662638.46111,0,0,2,2
10079,78,10079,0.007145953751396714,0,-0.15933615853282657,0,0,2,2
10080,79,10080,0.004619984942781682,0,-395.88770715988846,0,0,2,2
10081,80,10081,6.2831852984741925,0,0.15927205500989602,0,0,2,2
10082,81,10082,0.004054278054874858,0,-0.15925770568380662,0,0,2,2
10083,82,10083,6.283185298434412,0,0.1592577056848156,0,0,2,2
10084,83,10084,0.0036119962860405976,0,-0.1592464888749494,0,0,2,2
10085,84,10085,0.004641573292506518,0,971.2726621902282,0,0,2,2
10086,85,10086,0.010835629009751732,0,161.44510893175283,0,0,2,2
10087,86,10087,0.004663364401773299,0,-162.01508903350864,0,0,2,2
10088,87,10088,0.008175164422889923,0,284.75425536390213,0,0,2,2
10089,88,10089,0.008175164404711829,0,-55011266607.17826,0,0,2,2
10090,89,10090,0.004087646142027459,0,-244.6472249749109,0,0,2,2
10091,90,10091,0.007303579490647248,0,310.95171808494695,0,0,2,2
10092,91,10092,0.0046853610252063724,0,-381.9390983600035,0,0,2,2
10093,92,10093,0.010995551689313977,0,158.47381691459896,0,0,2,2
10094,93,10094,0.008243004994461796,0,-363.2999221666983,0,0,2,2
10095,94,10095,0.00824300496646065,0,-35712823350.26954,0,0,2,2
10096,95,10096,0.009459762866281135,0,821.8561803852143,0,0,2,2
10097,96,10097,0.007357678063668947,0,-475.7182006916821,0,0,2,2
10098,97,10098,0.009505022175769583,0,465.69154629890767,0,0,2,2
10099,98,10099,0.008311980921985502,0,-838.1939826709311,0,0,2,2
10100,99,10100,0.011077296251136575,0,361.6224122646407,0,0,2,2
10101,100,10101,0.014325534937028506,0,307.8591497426892,0,0,2,2
10102,101,10102,0.011118626041369959,0,-311.826756710732,0,0,2,2
10103,102,10103,0.00834690355104988,0,-360.78647970436606,0,0,2,2
10104,103,10104,0.014325534882122301,0,167.26236234081762,0,0,2,2
10105,104,10105,0.008382120909231225,0,-168.25346586341962,0,0,2,2
10106,105,10106,0.01083562860629766,0,407.5797280748953,0,0,2,2
10107,106,10107,0.012955426836974319,0,471.7430109755261,0,0,2,2
10108,107,10108,0.009769899661707491,0,-313.9197831254532,0,0,2,2
10109,108,10109,0.008346903432475647,0,-702.7425508638315,0,0,2,2
10110,109,10110,0.01099555133650024,0,377.55112655046,0,0,2,2
10111,110,10111,0.007330528624477741,0,-272.84960519335004,0,0,2,2
10112,111,10112,0.009802035376653176,0,404.6114780466587,0,0,2,2
10113,112,10113,0.012626086680884257,0,354.101215690299,0,0,2,2
10114,113,10114,0.006556369849349382,0,-164.75233157575914,0,0,2,2
10115,114,10115,0.009858784568597862,0,302.8087278594636,0,0,2,2
10116,115,10116,0.011118625704743269,0,793.7508716849703,0,0,2,2
10117,116,10117,0.011118625684590225,0,-49620295170.34034,0,0,2,2
10118,117,10118,0.008489578663506688,0,-380.3659622595337,0,0,2,2
10119,118,10119,0.011160265018756676,0,374.4355820870608,0,0,2,2
10120,119,10120,0.009932720550085707,0,-814.6344393394355,0,0,2,2
10121,120,10121,0.007468315351321494,0,-405.7774267403163,0,0,2,2
10122,121,10122,0.012843754017145508,0,186.03132919324412,0,0,2,2
10123,122,10123,0.009965938121667862,0,-347.48574485652597,0,0,2,2
10124,123,10124,0.007496496590342243,0,-404.9498590327793,0,0,2,2
10125,124,10125,0.01128707547970013,0,263.8119477759761,0,0,2,2
10126,125,10126,0.011287075457846088,0,-45758127447.03967,0,0,2,2
10127,126,10127,0.007524891315732402,0,-265.8030447808373,0,0,2,2
10128,127,10128,0.010053352733672073,0,395.4974329071847,0,0,2,2
10129,128,10129,0.009550715959217191,0,-1989.5082310372502,0,0,2,2
