PID,B(Lat),L(Long),H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
10001,0,0,0.038,-1744.663,168.951,0,0,0,0
10002,0,0,0.038,-1744.663,168.992,0,0,0,0
10003,0,0,0.038,-1744.663,169.136,0,0,0,0
10004,0,0,0.038,-1744.663,169.212,0,0,0,0
10005,0,0,0.038,-1744.663,169.288,0,0,0,0
10006,0,0,0.038,-1744.663,169.355,0,0,0,0
10007,0,0,0.038,-1744.663,169.431,0,0,0,0
10008,0,0,0.038,-1744.663,169.526,0,0,0,0
10009,0,0,0.038,-1744.663,169.646,0,0,0,0
10010,0,0,0.038,-1744.663,169.795,0,0,0,0
10011,0,0,0.038,-1744.663,169.995,0,0,0,0
10012,0,0,0.038,-1744.663,170.181,0,0,0,0
10013,0,0,0.038,-1744.663,170.528,0,0,0,0
10014,0,0,0.038,-1744.663,170.711,0,0,0,0
10015,0,0,0.038,-1744.663,170.919,0,0,0,0
10016,0,0,0.038,-1744.663,171.105,0,0,0,0
10017,0,0,0.038,-1744.663,171.288,0,0,0,0
10018,0,0,0.038,-1744.663,171.472,0,0,0,0
10019,0,0,0.038,-1744.663,171.633,0,0,0,0
10020,0,0,0.038,-1744.663,171.86,0,0,0,0
10021,0,0,0.038,-1744.663,172.06,0,0,0,0
10022,0,0,0.038,-1744.663,172.294,0,0,0,0
10023,0,0,0.038,-1744.663,172.498,0,0,0,0
10024,0,0,0.038,-1744.663,172.789,0,0,0,0
10025,0,0,0.038,-1744.663,173.023,0,0,0,0
10026,0,0,0.038,-1744.663,173.257,0,0,0,0
10027,0,0,0.038,-1744.663,173.488,0,0,0,0
10028,0,0,0.038,-1744.663,173.72,0,0,0,0
10029,0,0,0.038,-1744.663,174.255,0,0,0,0
10030,0,0,0.038,-1744.663,174.522,0,0,0,0
10031,0,0,0.038,-1744.663,174.828,0,0,0,0
10032,0,0,0.038,-1744.663,175.134,0,0,0,0
10033,0,0,0.038,-1744.663,175.479,0,0,0,0
10034,0,0,0.038,-1744.663,175.746,0,0,0,0
10035,0,0,0.038,-1744.663,176.087,0,0,0,0
10036,0,0,0.038,-1744.663,176.355,0,0,0,0
10037,0,0,0.038,-1744.663,176.659,0,0,0,0
10038,0,0,0.038,-1744.663,177.0,0,0,0,0
10039,0,0,0.038,-1744.663,177.31,0,0,0,0
10040,0,0,0.038,-1744.663,177.605,0,0,0,0
10041,0,0,0.038,-1744.663,178.312,0,0,0,0
10042,0,0,0.038,-1744.663,178.62,0,0,0,0
10043,0,0,0.038,-1744.663,179.059,0,0,0,0
10044,0,0,0.038,-1744.663,179.412,0,0,0,0
10045,0,0,0.038,-1744.663,179.762,0,0,0,0
10046,0,0,0.038,-1744.663,180.026,0,0,0,0
10047,0,0,0.038,-1744.663,180.419,0,0,0,0
10048,0,0,0.038,-1744.663,180.768,0,0,0,0
10049,0,0,0.038,-1744.663,181.161,0,0,0,0
10050,0,0,0.038,-1744.663,181.879,0,0,0,0
10051,0,0,0.038,-1744.663,182.302,0,0,0,0
10052,0,0,0.038,-1744.665,183.148,0,0,0,0
10053,0,0,0.037,-1744.665,183.569,0,0,0,0
10054,0,0,0.037,-1744.667,184.044,0,0,0,0
10055,0,0,0.037,-1744.667,184.411,0,0,0,0
10056,0,0,0.037,-1744.669,184.885,0,0,0,0
10057,0,0,0.037,-1744.669,185.304,0,0,0,0
10058,0,0,0.037,-1744.671,185.671,0,0,0,0
10059,0,0,0.037,-1744.672,186.142,0,0,0,0
10060,0,0,0.037,-1744.672,186.508,0,0,0,0
10061,0,0,0.037,-1744.674,186.925,0,0,0,0
10062,0,0,0.037,-1744.674,187.359,0,0,0,0
10063,0,0,0.037,-1744.676,187.823,0,0,0,0
10064,0,0,0.037,-1744.676,188.292,0,0,0,0
10065,0,0,0.037,-1744.678,188.819,0,0,0,0
10066,0,0,0.037,-1744.678,189.227,0,0,0,0
10067,0,0,0.037,-1744.68,189.695,0,0,0,0
10068,0,0,0.037,-1744.68,190.22,0,0,0,0
10069,0,0,0.037,-1744.68,190.686,0,0,0,0
10070,0,0,0.037,-1744.68,191.092,0,0,0,0
10071,0,0,0.037,-1744.68,192.021,0,0,0,0
10072,0,0,0.037,-1744.68,192.485,0,0,0,0
10073,0,0,0.037,-1744.68,192.947,0,0,0,0
10074,0,0,0.037,-1744.68,193.869,0,0,0,0
10075,0,0,0.037,-1744.68,194.331,0,0,0,0
10076,0,0,0.037,-1744.68,194.791,0,0,0,0
10077,0,0,0.037,-1744.68,195.249,0,0,0,0
10078,0,0,0.037,-1744.68,196.166,0,0,0,0
10079,0,0,0.037,-1744.676,196.681,0,0,0,0
10080,0,0,0.037,-1744.674,197.08,0,0,0,0
10081,0,0,0.037,-1744.674,197.537,0,0,0,0
10082,0,0,0.037,-1744.672,197.991,0,0,0,0
10083,0,0,0.037,-1744.672,198.446,0,0,0,0
10084,0,0,0.037,-1744.671,198.956,0,0,0,0
10085,0,0,0.037,-1744.669,199.353,0,0,0,0
10086,0,0,0.037,-1744.663,199.863,0,0,0,0
10087,0,0,0.037,-1744.661,200.258,0,0,0,0
10088,0,0,0.037,-1744.658,200.709,0,0,0,0
10089,0,0,0.037,-1744.654,201.16,0,0,0,0
10090,0,0,0.037,-1744.652,201.61,0,0,0,0
10091,0,0,0.037,-1744.648,202.115,0,0,0,0
10092,0,0,0.037,-1744.647,202.508,0,0,0,0
10093,0,0,0.037,-1744.641,203.011,0,0,0,0
10094,0,0,0.037,-1744.634,203.905,0,0,0,0
10095,0,0,0.037,-1744.63,204.352,0,0,0,0
10096,0,0,0.037,-1744.626,204.742,0,0,0,0
10097,0,0,0.037,-1744.623,205.243,0,0,0,0
10098,0,0,0.037,-1744.619,205.631,0,0,0,0
10099,0,0,0.037,-1744.615,206.074,0,0,0,0
10100,0,0,0.037,-1744.61,206.573,0,0,0,0
10101,0,0,0.037,-1744.604,206.959,0,0,0,0
10102,0,0,0.037,-1744.599,207.456,0,0,0,0
10103,0,0,0.037,-1744.595,207.898,0,0,0,0
10104,0,0,0.037,-1744.589,208.283,0,0,0,0
10105,0,0,0.037,-1744.586,208.723,0,0,0,0
10106,0,0,0.037,-1744.58,209.233,0,0,0,0
10107,0,0,0.037,-1744.575,209.66,0,0,0,0
10108,0,0,0.037,-1744.569,210.226,0,0,0,0
10109,0,0,0.037,-1744.565,210.667,0,0,0,0
10110,0,0,0.037,-1744.56,211.17,0,0,0,0
10111,0,0,0.037,-1744.556,211.673,0,0,0,0
10112,0,0,0.037,-1744.551,212.237,0,0,0,0
10113,0,0,0.037,-1744.545,212.675,0,0,0,0
10114,0,0,0.037,-1744.542,213.237,0,0,0,0
10115,0,0,0.037,-1744.527,214.732,0,0,0,0
10116,0,0,0.037,-1744.521,215.229,0,0,0,0
10117,0,0,0.037,-1744.516,215.726,0,0,0,0
10118,0,0,0.037,-1744.512,216.16,0,0,0,0
10119,0,0,0.037,-1744.507,216.656,0,0,0,0
10120,0,0,0.037,-1744.501,217.212,0,0,0,0
10121,0,0,0.037,-1744.497,217.706,0,0,0,0
10122,0,0,0.037,-1744.492,218.136,0,0,0,0
10123,0,0,0.037,-1744.486,218.691,0,0,0,0
10124,0,0,0.037,-1744.483,219.182,0,0,0,0
10125,0,0,0.037,-1744.477,219.672,0,0,0,0
10126,0,0,0.037,-1744.471,220.162,0,0,0,0
10127,0,0,0.037,-1744.468,220.652,0,0,0,0
10128,0,0,0.037,-1744.459,221.568,0,0,0,0
10129,0,0,0.037,-1744.453,222.147,0,0,0,0
10130,0,0,0.037,-1744.448,222.627,0,0,0,0
10131,0,0,0.037,-1744.44,223.264,0,0,0,0
10132,0,0,0.037,-1744.435,223.829,0,0,0,0
10133,0,0,0.037,-1744.429,224.393,0,0,0,0
10134,0,0,0.037,-1744.424,224.887,0,0,0,0
10135,0,0,0.037,-1744.418,225.52,0,0,0,0
10136,0,0,0.037,-1744.411,226.082,0,0,0,0
10137,0,0,0.037,-1744.407,226.573,0,0,0,0
10138,0,0,0.037,-1744.401,227.133,0,0,0,0
10139,0,0,0.037,-1744.394,227.764,0,0,0,0
10140,0,0,0.037,-1744.389,228.336,0,0,0,0
10141,0,0,0.037,-1744.383,228.94,0,0,0,0
10142,0,0,0.037,-1744.376,229.575,0,0,0,0
10143,0,0,0.037,-1744.37,230.215,0,0,0,0
10144,0,0,0.037,-1744.365,230.851,0,0,0,0
10145,0,0,0.037,-1744.357,231.567,0,0,0,0
10146,0,0,0.037,-1744.354,232.124,0,0,0,0
10147,0,0,0.037,-1744.346,232.758,0,0,0,0
10148,0,0,0.037,-1744.341,233.393,0,0,0,0
10149,0,0,0.037,-1744.335,234.103,0,0,0,0
10150,0,0,0.037,-1744.33,234.66,0,0,0,0
10151,0,0,0.037,-1744.324,235.32,0,0,0,0
10152,0,0,0.037,-1744.317,236.008,0,0,0,0
10153,0,0,0.037,-1744.311,236.7,0,0,0,0
10154,0,0,0.037,-1744.306,237.389,0,0,0,0
10155,0,0,0.037,-1744.3,238.079,0,0,0,0
10156,0,0,0.037,-1744.295,238.765,0,0,0,0
10157,0,0,0.037,-1744.287,239.452,0,0,0,0
10158,0,0,0.037,-1744.282,240.138,0,0,0,0
10159,0,0,0.036,-1744.271,241.505,0,0,0,0
10160,0,0,0.036,-1744.265,242.188,0,0,0,0
10161,0,0,0.036,-1744.258,242.869,0,0,0,0
10162,0,0,0.036,-1744.252,243.633,0,0,0,0
10163,0,0,0.036,-1744.247,244.314,0,0,0,0
10164,0,0,0.036,-1744.241,244.993,0,0,0,0
10165,0,0,0.035,-1744.236,245.611,0,0,0,0
10166,0,0,0.035,-1744.226,246.436,0,0,0,0
10167,0,0,0.035,-1744.221,247.082,0,0,0,0
10168,0,0,0.035,-1744.208,248.553,0,0,0,0
10169,0,0,0.035,-1744.202,249.286,0,0,0,0
10170,0,0,0.035,-1744.197,250.018,0,0,0,0
10171,0,0,0.035,-1744.191,250.751,0,0,0,0
10172,0,0,0.035,-1744.186,251.48,0,0,0,0
10173,0,0,0.035,-1744.178,252.302,0,0,0,0
10174,0,0,0.035,-1744.175,252.938,0,0,0,0
10175,0,0,0.035,-1744.169,253.666,0,0,0,0
10176,0,0,0.035,-1744.166,254.302,0,0,0,0
10177,0,0,0.035,-1744.16,255.116,0,0,0,0
10178,0,0,0.035,-1744.155,255.931,0,0,0,0
10179,0,0,0.035,-1744.145,257.285,0,0,0,0
10180,0,0,0.035,-1744.143,258.096,0,0,0,0
10181,0,0,0.035,-1744.142,258.725,0,0,0,0
10182,0,0,0.035,-1744.138,259.533,0,0,0,0
10183,0,0,0.035,-1744.136,260.161,0,0,0,0
10184,0,0,0.035,-1744.134,260.966,0,0,0,0
10185,0,0,0.035,-1744.132,261.591,0,0,0,0
10186,0,0,0.035,-1744.131,262.305,0,0,0,0
10187,0,0,0.035,-1744.136,263.106,0,0,0,0
10188,0,0,0.036,-1744.138,263.728,0,0,0,0
10189,0,0,0.036,-1744.142,264.528,0,0,0,0
10190,0,0,0.036,-1744.143,265.149,0,0,0,0
10191,0,0,0.036,-1744.149,265.945,0,0,0,0
10192,0,0,0.036,-1744.153,266.652,0,0,0,0
10193,0,0,0.036,-1744.156,267.357,0,0,0,0
10194,0,0,0.036,-1744.16,267.974,0,0,0,0
10195,0,0,0.036,-1744.164,268.677,0,0,0,0
10196,0,0,0.036,-1744.169,269.468,0,0,0,0
10197,0,0,0.036,-1744.175,270.169,0,0,0,0
10198,0,0,0.036,-1744.18,270.87,0,0,0,0
10199,0,0,0.036,-1744.188,271.57,0,0,0,0
10200,0,0,0.036,-1744.191,272.18,0,0,0,0
10201,0,0,0.036,-1744.199,272.877,0,0,0,0
10202,0,0,0.036,-1744.204,273.573,0,0,0,0
10203,0,0,0.036,-1744.212,274.356,0,0,0,0
10204,0,0,0.036,-1744.226,275.048,0,0,0,0
10205,0,0,0.036,-1744.245,275.742,0,0,0,0
10206,0,0,0.036,-1744.261,276.432,0,0,0,0
